query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,26.9,550.8,89.4,14295.6,117.7,103.3,14041.9,13226.0,
1th,170.5,158.9,643.5,7419.6,859.4,788.5,7430.0,7273.5,
2th,678.5,681.8,73.2,3484.2,16.2,8.2,3292.1,3259.6,
3th,201.7,252.4,12.6,49534.8,5.5,55.8,47691.8,55.4,
4th,2626.8,13258.7,7417.4,68519.3,4316.8,2868.6,5138.1,2933.7,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
