query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
