query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,0.5,1.7,6.8,4478.0,6.5,4.6,3688.4,3988.5,
1th,82.5,526.3,151.8,7659.1,39.2,31.6,975.8,1291.4,
2th,11.3,3316.3,1367.4,32226.9,39.3,11.3,1007.3,12.2,
3th,87.4,1138.2,468.7,14511.6,31.9,24.3,556.1,811.5,
4th,153.2,2051.9,654.1,14653.2,97.5,93.8,6779.2,6763.4,
5th,114.2,2250.0,8982.3,22885.7,1029.1,988.6,8750.9,8723.0,
6th,1631.4,4220.2,1091.6,25486.9,32.4,30.8,3239.6,3477.0,
7th,334.5,9749.7,7508.8,42197.2,162.7,147.9,35627.5,37551.9,
8th,193.0,48054.3,21474.9,34612.0,237.6,226.1,322.0,401.7,
9th,214.1,6509.8,10426.6,18647.0,5.1,4.1,8282.2,8276.0,
10th,155.6,196.7,8.1,33074.7,6.3,39.4,32430.7,34.1,
11th,1.2,1.1,10.1,124365.3,9.4,4.6,119916.0,93574.6,
12th,2.2,9.5,72.6,56880.9,68.1,6.6,57743.7,37.5,
