query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,6.4,29.8,93.3,7057.0,36.0,35.5,5953.2,7422.0,
1th,100.6,676.2,284.8,12187.6,50.4,45.0,989.2,2554.9,
2th,702.6,715.1,114.6,4023.1,115.8,105.1,4040.1,10511.7,
3th,198.0,245.8,15.2,43588.0,13.8,34.4,42886.9,46.8,
4th,8.2,20.4,99.9,72174.3,98.1,10.2,70376.3,35.9,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
